,complaint_date,offense,borough,category,victim_age_group,victim_sex
17749,2023-01-25,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,25-44,M
17750,2023-01-08,PETIT LARCENY,BROOKLYN,MISDEMEANOR,45-64,F
17751,2023-01-01,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,FELONY,25-44,M
17752,2023-01-15,SEX CRIMES,BROOKLYN,MISDEMEANOR,25-44,F
17753,2023-01-31,SEX CRIMES,MANHATTAN,MISDEMEANOR,<18,M
17754,2023-01-03,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,MISDEMEANOR,45-64,M
17755,2023-01-16,OFF. AGNST PUB ORD SENSBLTY &,BROOKLYN,MISDEMEANOR,25-44,M
17756,2023-01-13,FELONY ASSAULT,BROOKLYN,FELONY,25-44,M
17757,2023-01-23,GRAND LARCENY,MANHATTAN,FELONY,18-24,M
17758,2023-01-13,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,MISDEMEANOR,25-44,F
17759,2023-01-30,CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,MISDEMEANOR,45-64,M
17760,2023-01-12,HARRASSMENT 2,MANHATTAN,VIOLATION,25-44,F
17761,2023-01-25,PETIT LARCENY,MANHATTAN,MISDEMEANOR,UNKNOWN,D
17762,2023-01-24,HARRASSMENT 2,BROOKLYN,VIOLATION,25-44,F
17763,2023-01-15,OFF. AGNST PUB ORD SENSBLTY &,BROOKLYN,MISDEMEANOR,UNKNOWN,D
17764,2023-01-15,MISCELLANEOUS PENAL LAW,MANHATTAN,FELONY,25-44,F
17765,2023-01-28,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,MISDEMEANOR,18-24,M
17766,2023-01-05,HARRASSMENT 2,BROOKLYN,VIOLATION,65+,M
17767,2023-01-19,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,25-44,M
17768,2023-01-17,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,18-24,F
17769,2023-01-22,VEHICLE AND TRAFFIC LAWS,BROOKLYN,MISDEMEANOR,UNKNOWN,E
17770,2023-01-19,ASSAULT 3 & RELATED OFFENSES,BROOKLYN,MISDEMEANOR,45-64,M
17771,2023-01-17,MISCELLANEOUS PENAL LAW,MANHATTAN,FELONY,25-44,F
17772,2023-01-17,HARRASSMENT 2,BROOKLYN,VIOLATION,25-44,M
17773,2023-01-06,VEHICLE AND TRAFFIC LAWS,BROOKLYN,MISDEMEANOR,UNKNOWN,D
17774,2023-01-27,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,M
17775,2023-01-24,PETIT LARCENY,BROOKLYN,MISDEMEANOR,25-44,M
17776,2023-01-23,HARRASSMENT 2,BROOKLYN,VIOLATION,45-64,F
17777,2023-01-13,BURGLARY,BROOKLYN,FELONY,25-44,M
17778,2023-01-21,NYS LAWS-UNCLASSIFIED FELONY,MANHATTAN,FELONY,UNKNOWN,E
17779,2023-01-21,GRAND LARCENY,MANHATTAN,FELONY,25-44,F
17780,2023-01-15,PETIT LARCENY,BROOKLYN,MISDEMEANOR,65+,F
17781,2023-01-13,HARRASSMENT 2,MANHATTAN,VIOLATION,45-64,F
17782,2023-01-21,HARRASSMENT 2,MANHATTAN,VIOLATION,45-64,M
17783,2023-01-16,MISCELLANEOUS PENAL LAW,BROOKLYN,FELONY,UNKNOWN,F
17784,2023-01-04,VEHICLE AND TRAFFIC LAWS,MANHATTAN,MISDEMEANOR,25-44,M
17785,2023-01-21,VEHICLE AND TRAFFIC LAWS,MANHATTAN,MISDEMEANOR,UNKNOWN,E
17786,2023-01-02,GRAND LARCENY,BROOKLYN,FELONY,65+,F
17787,2023-01-04,PETIT LARCENY,BROOKLYN,MISDEMEANOR,18-24,F
17788,2023-01-29,CRIMINAL MISCHIEF & RELATED OF,QUEENS,MISDEMEANOR,UNKNOWN,D
17789,2023-01-24,VEHICLE AND TRAFFIC LAWS,MANHATTAN,MISDEMEANOR,UNKNOWN,E
17790,2023-01-11,DANGEROUS DRUGS,MANHATTAN,FELONY,UNKNOWN,E
17791,2023-01-17,GRAND LARCENY,MANHATTAN,FELONY,25-44,M
17792,2023-01-19,GRAND LARCENY,BROOKLYN,FELONY,45-64,F
17793,2023-01-09,PETIT LARCENY,MANHATTAN,MISDEMEANOR,45-64,M
17794,2023-01-31,BURGLARY,MANHATTAN,FELONY,UNKNOWN,D
17795,2023-01-07,PETIT LARCENY,BROOKLYN,MISDEMEANOR,45-64,M
17796,2023-01-11,FELONY ASSAULT,BROOKLYN,FELONY,18-24,M
17797,2023-01-17,PETIT LARCENY,BROOKLYN,MISDEMEANOR,45-64,M
17798,2023-01-30,ASSAULT 3 & RELATED OFFENSES,MANHATTAN,MISDEMEANOR,<18,F
17799,2023-01-01,FELONY ASSAULT,BROOKLYN,FELONY,45-64,F
17800,2023-01-08,PETIT LARCENY,MANHATTAN,MISDEMEANOR,45-64,M
17801,2023-01-13,GRAND LARCENY,MANHATTAN,FELONY,45-64,M
17802,2023-01-12,HARRASSMENT 2,BROOKLYN,VIOLATION,25-44,F
17803,2023-01-03,HARRASSMENT 2,BROOKLYN,VIOLATION,25-44,F
17804,2023-01-04,BURGLARY,BROOKLYN,FELONY,25-44,M
17805,2023-01-03,HARRASSMENT 2,MANHATTAN,VIOLATION,UNKNOWN,M
17806,2023-01-26,CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,MISDEMEANOR,UNKNOWN,D
