,complaint_date,offense,borough,category,victim_age_group,victim_sex
0,2023-01-20,RAPE,BRONX,FELONY,18-24,F
1,2023-01-17,OFFENSES AGAINST PUBLIC ADMINI,STATEN ISLAND,MISDEMEANOR,18-24,F
2,2023-01-23,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
3,2023-01-02,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,18-24,F
4,2023-01-12,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,F
5,2023-01-06,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
6,2023-01-18,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
7,2023-01-30,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
8,2023-01-13,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,65+,M
9,2023-01-01,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,F
10,2023-01-06,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,45-64,F
11,2023-01-03,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,45-64,M
12,2023-01-06,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
13,2023-01-16,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,D
14,2023-01-30,HARRASSMENT 2,STATEN ISLAND,VIOLATION,UNKNOWN,D
15,2023-01-13,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,F
16,2023-01-14,SEX CRIMES,STATEN ISLAND,MISDEMEANOR,25-44,F
17,2023-01-09,HARRASSMENT 2,STATEN ISLAND,VIOLATION,65+,F
18,2023-01-02,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,M
19,2023-01-15,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,25-44,F
20,2023-01-04,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
21,2023-01-20,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,<18,M
22,2023-01-14,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,D
23,2023-01-29,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,UNKNOWN,M
24,2023-01-03,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,D
25,2023-01-12,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
26,2023-01-08,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
27,2023-01-13,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
28,2023-01-16,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,18-24,M
29,2023-01-07,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
30,2023-01-21,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
31,2023-01-03,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,D
32,2023-01-23,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,F
33,2023-01-25,GRAND LARCENY,STATEN ISLAND,FELONY,45-64,M
34,2023-01-24,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
35,2023-01-21,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
36,2023-01-01,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,F
37,2023-01-05,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,M
38,2023-01-12,HARRASSMENT 2,STATEN ISLAND,VIOLATION,65+,M
39,2023-01-11,HARRASSMENT 2,STATEN ISLAND,VIOLATION,18-24,M
40,2023-01-09,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,25-44,F
41,2023-01-21,FELONY ASSAULT,STATEN ISLAND,FELONY,25-44,F
42,2023-01-18,GRAND LARCENY,STATEN ISLAND,FELONY,25-44,M
43,2023-01-12,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
44,2023-01-06,HARRASSMENT 2,STATEN ISLAND,VIOLATION,UNKNOWN,F
45,2023-01-08,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,25-44,F
46,2023-01-08,GRAND LARCENY OF MOTOR VEHICLE,STATEN ISLAND,FELONY,45-64,M
47,2023-01-12,BURGLARY,STATEN ISLAND,FELONY,UNKNOWN,D
48,2023-01-03,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,M
49,2023-01-09,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,65+,F
50,2023-01-06,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
51,2023-01-03,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
52,2023-01-09,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,25-44,F
53,2023-01-12,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,FELONY,18-24,F
54,2023-01-07,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
55,2023-01-13,OTHER STATE LAWS (NON PENAL LA,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
56,2023-01-20,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,45-64,F
57,2023-01-21,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
58,2023-01-30,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
59,2023-01-12,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,25-44,M
60,2023-01-23,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,M
61,2023-01-31,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
62,2023-01-01,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,65+,M
63,2023-01-25,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
64,2023-01-14,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
65,2023-01-20,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
66,2023-01-24,GRAND LARCENY,STATEN ISLAND,FELONY,25-44,M
67,2023-01-20,HARRASSMENT 2,STATEN ISLAND,VIOLATION,18-24,F
68,2023-01-04,OFFENSES AGAINST PUBLIC ADMINI,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
69,2023-01-09,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,18-24,F
70,2023-01-11,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
71,2023-01-11,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
72,2023-01-14,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,45-64,M
73,2023-01-26,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,45-64,F
74,2023-01-06,OFFENSES AGAINST PUBLIC ADMINI,STATEN ISLAND,MISDEMEANOR,25-44,F
75,2023-01-11,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,UNKNOWN,F
76,2023-01-15,GRAND LARCENY,STATEN ISLAND,FELONY,25-44,M
77,2023-01-08,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,M
78,2023-01-26,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
79,2023-01-28,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,M
80,2023-01-17,GRAND LARCENY,STATEN ISLAND,FELONY,45-64,F
81,2023-01-01,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,F
82,2023-01-22,FRAUDS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
83,2023-01-12,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,UNKNOWN,M
84,2023-01-09,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
85,2023-01-10,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,F
86,2023-01-13,FELONY ASSAULT,STATEN ISLAND,FELONY,65+,M
87,2023-01-12,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,M
88,2023-01-25,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
89,2023-01-11,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,<18,M
90,2023-01-20,FELONY ASSAULT,STATEN ISLAND,FELONY,25-44,F
91,2023-01-01,GRAND LARCENY OF MOTOR VEHICLE,STATEN ISLAND,FELONY,25-44,M
92,2023-01-06,INTOXICATED & IMPAIRED DRIVING,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
93,2023-01-04,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
94,2023-01-04,HARRASSMENT 2,STATEN ISLAND,VIOLATION,<18,M
95,2023-01-05,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,25-44,F
96,2023-01-28,OFFENSES AGAINST PUBLIC ADMINI,STATEN ISLAND,MISDEMEANOR,45-64,M
97,2023-01-31,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,45-64,M
98,2023-01-30,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
99,2023-01-22,ROBBERY,STATEN ISLAND,FELONY,UNKNOWN,D
100,2023-01-31,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,M
101,2023-01-04,OFFENSES INVOLVING FRAUD,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
102,2023-01-14,THEFT-FRAUD,STATEN ISLAND,FELONY,45-64,F
103,2023-01-08,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,18-24,F
104,2023-01-27,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,F
105,2023-01-20,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
106,2023-01-05,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,65+,F
107,2023-01-20,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
108,2023-01-11,GRAND LARCENY,STATEN ISLAND,FELONY,18-24,F
109,2023-01-02,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,18-24,F
110,2023-01-26,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
111,2023-01-15,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,45-64,M
112,2023-01-25,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
113,2023-01-21,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
114,2023-01-08,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
115,2023-01-16,FORGERY,STATEN ISLAND,FELONY,25-44,M
116,2023-01-28,HARRASSMENT 2,STATEN ISLAND,VIOLATION,18-24,F
117,2023-01-20,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,F
118,2023-01-20,GRAND LARCENY,STATEN ISLAND,FELONY,25-44,F
119,2023-01-20,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,45-64,F
120,2023-01-11,FELONY ASSAULT,STATEN ISLAND,FELONY,18-24,F
121,2023-01-08,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
122,2023-01-04,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
123,2023-01-14,GRAND LARCENY,STATEN ISLAND,FELONY,45-64,F
124,2023-01-12,CRIMINAL TRESPASS,STATEN ISLAND,MISDEMEANOR,45-64,F
125,2023-01-04,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,45-64,F
126,2023-01-16,GRAND LARCENY,STATEN ISLAND,FELONY,25-44,F
127,2023-01-06,HARRASSMENT 2,STATEN ISLAND,VIOLATION,UNKNOWN,F
128,2023-01-08,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,25-44,F
129,2023-01-14,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
130,2023-01-17,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
131,2023-01-26,POSSESSION OF STOLEN PROPERTY,STATEN ISLAND,MISDEMEANOR,45-64,M
132,2023-01-27,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
133,2023-01-18,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,65+,F
134,2023-01-09,GRAND LARCENY OF MOTOR VEHICLE,STATEN ISLAND,FELONY,45-64,F
135,2023-01-31,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,F
136,2023-01-20,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,M
137,2023-01-21,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
138,2023-01-28,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,45-64,M
139,2023-01-28,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
140,2023-01-03,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,F
141,2023-01-09,GRAND LARCENY,STATEN ISLAND,FELONY,65+,M
142,2023-01-26,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
143,2023-01-04,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
144,2023-01-20,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,F
145,2023-01-29,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,45-64,F
146,2023-01-20,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
147,2023-01-06,BURGLARY,STATEN ISLAND,FELONY,25-44,M
148,2023-01-12,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,M
149,2023-01-15,GRAND LARCENY,STATEN ISLAND,FELONY,45-64,F
150,2023-01-14,HARRASSMENT 2,STATEN ISLAND,VIOLATION,<18,M
151,2023-01-25,FELONY ASSAULT,STATEN ISLAND,FELONY,25-44,M
152,2023-01-09,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,<18,M
153,2023-01-02,OTHER STATE LAWS (NON PENAL LA,STATEN ISLAND,MISDEMEANOR,65+,F
154,2023-01-28,HARRASSMENT 2,STATEN ISLAND,VIOLATION,18-24,F
155,2023-01-20,FORGERY,STATEN ISLAND,FELONY,UNKNOWN,E
156,2023-01-18,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,F
157,2023-01-19,GRAND LARCENY,STATEN ISLAND,FELONY,45-64,M
158,2023-01-24,HARRASSMENT 2,STATEN ISLAND,VIOLATION,UNKNOWN,M
159,2023-01-12,FELONY ASSAULT,STATEN ISLAND,FELONY,25-44,F
160,2023-01-04,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
161,2023-01-16,GRAND LARCENY,STATEN ISLAND,FELONY,65+,M
162,2023-01-05,ROBBERY,STATEN ISLAND,FELONY,18-24,M
163,2023-01-05,HARRASSMENT 2,STATEN ISLAND,VIOLATION,<18,F
164,2023-01-22,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,M
165,2023-01-05,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,F
166,2023-01-02,MISCELLANEOUS PENAL LAW,STATEN ISLAND,VIOLATION,25-44,F
167,2023-01-29,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,45-64,M
168,2023-01-20,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
169,2023-01-23,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,F
170,2023-01-09,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,25-44,F
171,2023-01-14,CRIMINAL TRESPASS,STATEN ISLAND,MISDEMEANOR,25-44,M
172,2023-01-08,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,M
173,2023-01-04,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
174,2023-01-04,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,F
175,2023-01-17,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
176,2023-01-07,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
177,2023-01-06,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
178,2023-01-26,GRAND LARCENY,STATEN ISLAND,FELONY,45-64,F
179,2023-01-18,INTOXICATED & IMPAIRED DRIVING,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
180,2023-01-16,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,<18,M
181,2023-01-23,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
182,2023-01-04,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
183,2023-01-13,GRAND LARCENY OF MOTOR VEHICLE,STATEN ISLAND,FELONY,45-64,M
184,2023-01-24,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
185,2023-01-31,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,F
186,2023-01-17,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,45-64,F
187,2023-01-02,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,45-64,M
188,2023-01-27,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,45-64,M
189,2023-01-02,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,45-64,F
190,2023-01-23,GRAND LARCENY OF MOTOR VEHICLE,STATEN ISLAND,FELONY,UNKNOWN,D
191,2023-01-10,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,45-64,F
192,2023-01-26,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
193,2023-01-15,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,F
194,2023-01-12,GRAND LARCENY,STATEN ISLAND,FELONY,25-44,F
195,2023-01-09,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
196,2023-01-16,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
197,2023-01-24,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,45-64,M
198,2023-01-24,OFFENSES AGAINST PUBLIC ADMINI,STATEN ISLAND,MISDEMEANOR,45-64,L
199,2023-01-30,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,45-64,F
200,2023-01-06,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,65+,M
201,2023-01-17,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,M
202,2023-01-12,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
203,2023-01-04,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,45-64,M
204,2023-01-12,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
205,2023-01-07,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
206,2023-01-18,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,F
207,2023-01-04,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
208,2023-01-26,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,M
209,2023-01-02,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
210,2023-01-23,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,45-64,F
211,2023-01-21,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
212,2023-01-29,ROBBERY,STATEN ISLAND,FELONY,UNKNOWN,D
213,2023-01-12,SEX CRIMES,STATEN ISLAND,MISDEMEANOR,<18,F
214,2023-01-11,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,45-64,M
215,2023-01-01,THEFT-FRAUD,STATEN ISLAND,FELONY,18-24,M
216,2023-01-13,BURGLARY,STATEN ISLAND,FELONY,25-44,F
217,2023-01-08,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
218,2023-01-08,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,25-44,F
219,2023-01-29,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,45-64,M
220,2023-01-06,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,FELONY,45-64,M
221,2023-01-05,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
222,2023-01-02,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,45-64,M
223,2023-01-22,INTOXICATED & IMPAIRED DRIVING,STATEN ISLAND,MISDEMEANOR,45-64,M
224,2023-01-29,FELONY ASSAULT,STATEN ISLAND,FELONY,25-44,M
225,2023-01-25,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
226,2023-01-06,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,45-64,M
227,2023-01-21,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,M
228,2023-01-22,FRAUDS,STATEN ISLAND,MISDEMEANOR,25-44,F
229,2023-01-12,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,D
230,2023-01-10,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
231,2023-01-01,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
232,2023-01-07,OFFENSES INVOLVING FRAUD,STATEN ISLAND,MISDEMEANOR,UNKNOWN,M
233,2023-01-18,NYS LAWS-UNCLASSIFIED FELONY,STATEN ISLAND,FELONY,UNKNOWN,E
234,2023-01-01,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,45-64,F
235,2023-01-01,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
236,2023-01-04,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,M
237,2023-01-27,FELONY ASSAULT,STATEN ISLAND,FELONY,25-44,F
238,2023-01-14,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
239,2023-01-17,GRAND LARCENY OF MOTOR VEHICLE,STATEN ISLAND,FELONY,25-44,M
240,2023-01-30,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,45-64,M
241,2023-01-05,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
242,2023-01-20,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,<18,M
243,2023-01-08,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,25-44,F
244,2023-01-10,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,18-24,M
245,2023-01-14,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
246,2023-01-25,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,F
247,2023-01-18,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,M
248,2023-01-05,GRAND LARCENY,STATEN ISLAND,FELONY,65+,M
249,2023-01-10,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,25-44,M
250,2023-01-18,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,25-44,F
251,2023-01-08,DANGEROUS DRUGS,STATEN ISLAND,FELONY,UNKNOWN,E
252,2023-01-16,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
253,2023-01-04,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,FELONY,25-44,M
254,2023-01-27,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,18-24,M
255,2023-01-30,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
256,2023-01-23,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,18-24,F
257,2023-01-25,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
258,2023-01-03,ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,MISDEMEANOR,18-24,M
259,2023-01-07,GRAND LARCENY,STATEN ISLAND,FELONY,UNKNOWN,D
260,2023-01-06,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,25-44,M
261,2023-01-04,OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,MISDEMEANOR,25-44,F
262,2023-01-26,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
263,2023-01-22,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,45-64,M
264,2023-01-11,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,25-44,F
265,2023-01-07,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,25-44,F
266,2023-01-08,FELONY ASSAULT,STATEN ISLAND,FELONY,25-44,F
267,2023-01-21,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
268,2023-01-01,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,M
269,2023-01-13,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,M
270,2023-01-06,VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,MISDEMEANOR,UNKNOWN,E
271,2023-01-16,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,UNKNOWN,D
272,2023-01-26,FELONY ASSAULT,STATEN ISLAND,FELONY,25-44,M
273,2023-01-16,ROBBERY,STATEN ISLAND,FELONY,UNKNOWN,D
274,2023-01-07,PETIT LARCENY,STATEN ISLAND,MISDEMEANOR,45-64,M
275,2023-01-27,MISCELLANEOUS PENAL LAW,STATEN ISLAND,VIOLATION,45-64,M
276,2023-01-23,BURGLARY,STATEN ISLAND,FELONY,25-44,F
277,2023-01-05,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,M
278,2023-01-31,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,F
279,2023-01-20,CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,MISDEMEANOR,25-44,M
280,2023-01-19,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,65+,F
281,2023-01-30,HARRASSMENT 2,STATEN ISLAND,VIOLATION,45-64,F
282,2023-01-28,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
283,2023-01-26,HARRASSMENT 2,STATEN ISLAND,VIOLATION,25-44,F
284,2023-01-02,MISCELLANEOUS PENAL LAW,STATEN ISLAND,FELONY,25-44,F
